,lang,name,pdf,file
1,español,AC - Agora Constitucional,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/AC-AgoraConstitucional-spa.pdf,pdf/vz/AC_-_Agora_Constitucional.pdf
2,español,ACC - Asociación Clara Campoamor,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/ACC-AsociaciónClaraCampoamor-spa.pdf,pdf/vz/ACC_-_Asociación_Clara_Campoamor.pdf
3,español,ACCESO -Acceso Justicia,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/ACCESO-AccesoJusticia-spa.pdf,pdf/vz/ACCESO_-Acceso_Justicia.pdf
4,español,ACCR - Asociación Colectivo Colombianos Refugiados,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/ACCR-AsociaciónColectivoColombianosRefugiados-spa.pdf,pdf/vz/ACCR_-_Asociación_Colectivo_Colombianos_Refugiados.pdf
5,español,ACD11 - Asociación Comunitaria Distrito 11,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/ACD11-AsociaciónComunitariaDistrito11-spa.pdf,pdf/vz/ACD11_-_Asociación_Comunitaria_Distrito_11.pdf
6,español,ACMOR - Asociación Comité Monseñor Oscar Romero,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/ACMOR-AsociaciónComitéMonseñorOscarRomero-spa.pdf,pdf/vz/ACMOR_-_Asociación_Comité_Monseñor_Oscar_Romero.pdf
7,español,ACNU - Asociación Cubana Naciones Unidas,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/ACNU-AsociaciónCubanaNacionesUnidas-spa.pdf,pdf/vz/ACNU_-_Asociación_Cubana_Naciones_Unidas.pdf
8,español,ACOTAR - Asociación Confeccionistas Tarija,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/ACOTAR-AsociaciónConfeccionistasTarija-spa.pdf,pdf/vz/ACOTAR_-_Asociación_Confeccionistas_Tarija.pdf
9,español,ADD - Llallagua - Asamblea Deporte,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/ADD-Llallagua-AsambleaDeporte-spa.pdf,pdf/vz/ADD_-_Llallagua_-_Asamblea_Deporte.pdf
10,español,ADECO - Asociación Desarrollo Comunitario,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/ADECO-AsociaciónDesarrolloComunitario-spa.pdf,pdf/vz/ADECO_-_Asociación_Desarrollo_Comunitario.pdf
11,español,AE - Plan 3 Mil - Asociación Enfermeras Plan Tres Mil,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/AE-Plan3Mil-AsociaciónEnfermerasPlanTresMil-spa.pdf,pdf/vz/AE_-_Plan_3_Mil_-_Asociación_Enfermeras_Plan_Tres_Mil.pdf
12,español,AEB - Asociación Estudios Bolivarianos,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/AEB-AsociaciónEstudiosBolivarianos-spa.pdf,pdf/vz/AEB_-_Asociación_Estudios_Bolivarianos.pdf
13,español,AEQUITAS,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/AEQUITAS-spa.pdf,pdf/vz/AEQUITAS.pdf
14,español,AFEP - Agrupación Familiares Ejecutados Políticos,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/AFEP-AgrupaciónFamiliaresEjecutadosPolíticos-spa.pdf,pdf/vz/AFEP_-_Agrupación_Familiares_Ejecutados_Políticos.pdf
15,español,AG - Villa Hayes - Asociación Gancheros,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/AG-VillaHayes-AsociaciónGancheros-spa.pdf,pdf/vz/AG_-_Villa_Hayes_-_Asociación_Gancheros.pdf
16,español,Aguaclara - Fundación Aguaclara,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/Aguaclara-FundaciónAguaclara-spa.pdf,pdf/vz/Aguaclara_-_Fundación_Aguaclara.pdf
17,english,AI - Amnesty International,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/AI-AmnestyInternational-eng.pdf,pdf/vz/AI_-_Amnesty_International.pdf
18,español,AIR - Solidaridad - Asociación Internacional Refugiados,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/AIR-Solidaridad-AsociaciónInternacionalRefugiados-spa.pdf,pdf/vz/AIR_-_Solidaridad_-_Asociación_Internacional_Refugiados.pdf
19,español,AMAS - Club Madres AMAS,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/AMAS-ClubMadresAMAS-spa.pdf,pdf/vz/AMAS_-_Club_Madres_AMAS.pdf
20,español,Amigos de la Cultura - Fundación Amigos Cultura,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/Amigos%20de%20la%20Cultura-FundaciónAmigosCultura-spa.pdf,pdf/vz/Amigos_de_la_Cultura_-_Fundación_Amigos_Cultura.pdf
